study,seed,metric,configuration,geometric,memory,spectral,steps_requested,steps_completed,initial_loss,final_loss,best_loss,diverged,runtime_s,mean_geometric_force,mean_memory_force,mean_spectral_force
architecture,29,control,G1M0S1,1,0,1,300,300,-0.7656345268812805,-15.50824073447885,-15.50823533020473,0,0.47971520001010504,0.017201484776952408,0.0,0.0012948514674923002
architecture,29,control,G1M1S0,1,1,0,300,300,-0.7656345268812805,-15.50833554457854,-15.508334724400918,0,0.23467109999910463,0.01925113179675549,0.1929845190116625,0.0
architecture,29,control,G1M1S1,1,1,1,300,300,-0.7656345268812805,-15.508336232081152,-15.508335431158006,0,0.5079201000044122,0.01924437240109083,0.19297906194573453,0.0013021250302872915
architecture,29,hessian,G0M0S0,0,0,0,300,300,-0.7656345268812805,-15.508353117466566,-15.508353117466566,0,0.08610979998775292,0.0,0.0,0.0
architecture,29,hessian,G0M0S1,0,0,1,300,300,-0.7656345268812805,-15.5083405414214,-15.508341109812836,0,0.2815260000061244,0.0,0.0,0.009408285345030255
architecture,29,hessian,G0M1S0,0,1,0,300,300,-0.7656345268812805,-15.50835311746657,-15.508353117466577,0,0.07832869999401737,0.0,0.03647570565038723,0.0
architecture,29,hessian,G0M1S1,0,1,1,300,300,-0.7656345268812805,-15.508343337261227,-15.508343733597531,0,0.313907100004144,0.0,0.03746802863879401,0.009415184117215628
architecture,29,hessian,G1M0S0,1,0,0,300,300,-0.7656345268812805,-15.508353117466566,-15.508353117466562,0,0.24019000001135282,0.09371214563928677,0.0,0.0
architecture,29,hessian,G1M0S1,1,0,1,300,300,-0.7656345268812805,-15.508340541189945,-15.508340541181017,0,0.42002449999563396,0.09520219372507974,0.0,0.010044438943046097
architecture,29,hessian,G1M1S0,1,1,0,300,300,-0.7656345268812805,-15.508353117466573,-15.50835311746658,0,0.22296129999449477,0.08249069866222648,0.04236080215718246,0.0
architecture,29,hessian,G1M1S1,1,1,1,300,300,-0.7656345268812805,-15.508343337260094,-15.508343337260001,0,0.4733391999907326,0.08126347581873408,0.04325789246370618,0.00979014230206712
architecture,30,control,G0M0S0,0,0,0,300,300,-1.2359138362024136,-19.000741414039325,-19.00074058565095,0,0.11808190000010654,0.0,0.0,0.0
architecture,30,control,G0M0S1,0,0,1,300,300,-1.2359138362024136,-19.000742168049747,-19.00074136155275,0,0.3078640999883646,0.0,0.0,0.0012266353082521124
architecture,30,control,G0M1S0,0,1,0,300,300,-1.2359138362024136,-19.000755906919412,-19.00075580907261,0,0.08769490000850055,0.0,0.16424153029160393,0.0
architecture,30,control,G0M1S1,0,1,1,300,300,-1.2359138362024136,-19.000756063905012,-19.000755973186518,0,0.3053792999999132,0.0,0.16422296858481011,0.001233049989316643
architecture,30,control,G1M0S0,1,0,0,300,300,-1.2359138362024136,-19.00074183791374,-19.00074103140508,0,0.23579120000067633,0.02082506316102298,0.0,0.0
architecture,30,control,G1M0S1,1,0,1,300,300,-1.2359138362024136,-19.000742580436263,-19.000741795520796,0,0.43059259999427013,0.020817675085351935,0.0,0.0012258165052493053
architecture,30,control,G1M1S0,1,1,0,300,300,-1.2359138362024136,-19.000755955953966,-19.000755861080304,0,0.22928120000869967,0.023322572466547484,0.16248573035186653,0.0
architecture,30,control,G1M1S1,1,1,1,300,300,-1.2359138362024136,-19.00075610928803,-19.000756021432938,0,0.4521411000023363,0.023315255260938007,0.16246708685573494,0.0012322709610819917
