seed,metric,configuration,step,loss
3,hessian,G1M0S1,225,-25.290189070904184
3,hessian,G1M0S1,299,-25.290189240535515
3,hessian,G1M1S0,0,0.187623669504918
3,hessian,G1M1S0,75,-25.254408899916765
3,hessian,G1M1S0,150,-25.29020611748011
3,hessian,G1M1S0,225,-25.290206813649338
3,hessian,G1M1S0,299,-25.290206813665367
3,hessian,G1M1S1,0,0.187623669504918
3,hessian,G1M1S1,75,-25.254644736471196
3,hessian,G1M1S1,150,-25.290188625030098
3,hessian,G1M1S1,225,-25.290193130080215
3,hessian,G1M1S1,299,-25.290193150667093
4,control,G0M0S0,0,-4.354985350360165
4,control,G0M0S0,75,-23.097903791950273
4,control,G0M0S0,150,-24.166584549942772
4,control,G0M0S0,225,-24.26045723807198
4,control,G0M0S0,299,-24.353899582002697
4,control,G0M0S1,0,-4.354985350360165
4,control,G0M0S1,75,-23.098096452569933
4,control,G0M0S1,150,-24.166705442633805
4,control,G0M0S1,225,-24.26065713950204
4,control,G0M0S1,299,-24.354275212644712
4,control,G0M1S0,0,-4.354985350360165
4,control,G0M1S0,75,-23.563777288543935
4,control,G0M1S0,150,-24.193954088225308
4,control,G0M1S0,225,-24.294942125867355
4,control,G0M1S0,299,-24.4173761297329
4,control,G0M1S1,0,-4.354985350360165
4,control,G0M1S1,75,-23.56393202023583
4,control,G0M1S1,150,-24.194070093554814
4,control,G0M1S1,225,-24.29516563869027
4,control,G0M1S1,299,-24.41784699489985
4,control,G1M0S0,0,-4.354985350360165
4,control,G1M0S0,75,-23.119467355742934
4,control,G1M0S0,150,-24.166496743166437
4,control,G1M0S0,225,-24.26023885041068
4,control,G1M0S0,299,-24.353553383018067
4,control,G1M0S1,0,-4.354985350360165
4,control,G1M0S1,75,-23.1196588289776
4,control,G1M0S1,150,-24.1666173476751
4,control,G1M0S1,225,-24.26043844955059
4,control,G1M0S1,299,-24.353928200012486
4,control,G1M1S0,0,-4.354985350360165
4,control,G1M1S0,75,-23.578615021854073
4,control,G1M1S0,150,-24.19377181054429
4,control,G1M1S0,225,-24.29466403188099
4,control,G1M1S0,299,-24.416856843547933
4,control,G1M1S1,0,-4.354985350360165
4,control,G1M1S1,75,-23.57876810376427
4,control,G1M1S1,150,-24.193887635033523
4,control,G1M1S1,225,-24.29488710234684
4,control,G1M1S1,299,-24.417326533654226
4,hessian,G0M0S0,0,-4.354985350360165
4,hessian,G0M0S0,75,-25.289217247451987
4,hessian,G0M0S0,150,-25.290206585905757
4,hessian,G0M0S0,225,-25.29020681361137
4,hessian,G0M0S0,299,-25.29020681366535
4,hessian,G0M0S1,0,-4.354985350360165
4,hessian,G0M0S1,75,-25.288976157707005
4,hessian,G0M0S1,150,-25.29018618258256
4,hessian,G0M0S1,225,-25.290189196667473
4,hessian,G0M0S1,299,-25.290189243043145
4,hessian,G0M1S0,0,-4.354985350360165
4,hessian,G0M1S0,75,-25.290053717403907
4,hessian,G0M1S0,150,-25.290206810783005
4,hessian,G0M1S0,225,-25.2902068136653
4,hessian,G0M1S0,299,-25.290206813665357
4,hessian,G0M1S1,0,-4.354985350360165
4,hessian,G0M1S1,75,-25.28998143937146
4,hessian,G0M1S1,150,-25.290192842462133
4,hessian,G0M1S1,225,-25.290193149283837
4,hessian,G0M1S1,299,-25.290193150778173
4,hessian,G1M0S0,0,-4.354985350360165
4,hessian,G1M0S0,75,-25.289499537913702
4,hessian,G1M0S0,150,-25.290206650559874
4,hessian,G1M0S0,225,-25.29020681362651
4,hessian,G1M0S0,299,-25.29020681366535
4,hessian,G1M0S1,0,-4.354985350360165
4,hessian,G1M0S1,75,-25.289770355807175
4,hessian,G1M0S1,150,-25.29018953962813
4,hessian,G1M0S1,225,-25.29018925123734
4,hessian,G1M0S1,299,-25.29018924402315
4,hessian,G1M1S0,0,-4.354985350360165
4,hessian,G1M1S0,75,-25.290119589845748
4,hessian,G1M1S0,150,-25.29020681208252
4,hessian,G1M1S0,225,-25.29020681366533
4,hessian,G1M1S0,299,-25.290206813665364
4,hessian,G1M1S1,0,-4.354985350360165
4,hessian,G1M1S1,75,-25.29005842916305
4,hessian,G1M1S1,150,-25.290192923733343
4,hessian,G1M1S1,225,-25.290193149683294
4,hessian,G1M1S1,299,-25.29019315078033
5,control,G0M0S0,0,-3.039579038483404
5,control,G0M0S0,75,-18.450416578761914
5,control,G0M0S0,150,-19.166921640435906
5,control,G0M0S0,225,-25.346339497085626
5,control,G0M0S0,299,-33.125178581590404
5,control,G0M0S1,0,-3.039579038483404
5,control,G0M0S1,75,-18.450287856502253
5,control,G0M0S1,150,-19.166618391531085
5,control,G0M0S1,225,-25.34327617953942
5,control,G0M0S1,299,-33.1251100881621
5,control,G0M1S0,0,-3.039579038483404
5,control,G0M1S0,75,-18.58624102016218
5,control,G0M1S0,150,-19.519025030919654
5,control,G0M1S0,225,-30.082941193194404
5,control,G0M1S0,299,-33.197013370537796
5,control,G0M1S1,0,-3.039579038483404
5,control,G0M1S1,75,-18.58614638520016
5,control,G0M1S1,150,-19.518578469627673
5,control,G0M1S1,225,-30.080603635772533
5,control,G0M1S1,299,-33.197017201065435
5,control,G1M0S0,0,-3.039579038483404
5,control,G1M0S0,75,-18.46197264579001
5,control,G1M0S0,150,-19.169111861094144
5,control,G1M0S0,225,-25.390848691213748
5,control,G1M0S0,299,-33.1293895952795
5,control,G1M0S1,0,-3.039579038483404
5,control,G1M0S1,75,-18.461847081675177
5,control,G1M0S1,150,-19.168813831959948
5,control,G1M0S1,225,-25.38781827937141
5,control,G1M0S1,299,-33.12932814600547
5,control,G1M1S0,0,-3.039579038483404
5,control,G1M1S0,75,-18.592698911331645
5,control,G1M1S0,150,-19.52211880835534
5,control,G1M1S0,225,-30.158024896084598
5,control,G1M1S0,299,-33.197151753190454
5,control,G1M1S1,0,-3.039579038483404
5,control,G1M1S1,75,-18.59260643575649
5,control,G1M1S1,150,-19.521681149085605
5,control,G1M1S1,225,-30.155755451203163
5,control,G1M1S1,299,-33.19715559620198
5,hessian,G0M0S0,0,-3.039579038483404
5,hessian,G0M0S0,75,-33.19613412979861
5,hessian,G0M0S0,150,-33.19871747321181
5,hessian,G0M0S0,225,-33.198718004968185
5,hessian,G0M0S0,299,-33.19871800507695
5,hessian,G0M0S1,0,-3.039579038483404
5,hessian,G0M0S1,75,-33.19612080254444
5,hessian,G0M0S1,150,-33.198716824476804
5,hessian,G0M0S1,225,-33.19871742983918
5,hessian,G0M0S1,299,-33.198717430987
5,hessian,G0M1S0,0,-3.039579038483404
5,hessian,G0M1S0,75,-33.19787567829583
5,hessian,G0M1S0,150,-33.19871799315398
5,hessian,G0M1S0,225,-33.198718005076785
5,hessian,G0M1S0,299,-33.19871800507696
5,hessian,G0M1S1,0,-3.039579038483404
5,hessian,G0M1S1,75,-33.19787090003177
5,hessian,G0M1S1,150,-33.19871754077835
5,hessian,G0M1S1,225,-33.19871755823159
5,hessian,G0M1S1,299,-33.198717558253904
5,hessian,G1M0S0,0,-3.039579038483404
5,hessian,G1M0S0,75,-33.198224022302895
5,hessian,G1M0S0,150,-33.19871790270094
5,hessian,G1M0S0,225,-33.198718005055625
5,hessian,G1M0S0,299,-33.19871800507697
5,hessian,G1M0S1,0,-3.039579038483404
5,hessian,G1M0S1,75,-33.198205060126696
5,hessian,G1M0S1,150,-33.19871729094322
5,hessian,G1M0S1,225,-33.19871743043514
5,hessian,G1M0S1,299,-33.19871743099495
5,hessian,G1M1S0,0,-3.039579038483404
5,hessian,G1M1S0,75,-33.19861764896035
5,hessian,G1M1S0,150,-33.19871800364258
5,hessian,G1M1S0,225,-33.19871800507694
5,hessian,G1M1S0,299,-33.19871800507697
5,hessian,G1M1S1,0,-3.039579038483404
5,hessian,G1M1S1,75,-33.19861674083167
5,hessian,G1M1S1,150,-33.19871755677428
5,hessian,G1M1S1,225,-33.1987175582521
5,hessian,G1M1S1,299,-33.198717558253996
