step,optimizer,loss
99,sgd,19.9995480581
99,adam,19.9844214681
99,falling_ball,19.9979228975
99,entropy_descent,17.3620521812
99,hamiltonian_geometric,17.137773216
100,sgd,19.9995442949
100,adam,19.9842934937
100,falling_ball,19.997904139
100,entropy_descent,17.35916534
100,hamiltonian_geometric,17.137177905
101,sgd,19.9995405378
101,adam,19.9841784324
101,falling_ball,19.9978854134
101,entropy_descent,17.3563618486
101,hamiltonian_geometric,17.1366037086
102,sgd,19.9995367867
102,adam,19.9840489436
102,falling_ball,19.9978667203
102,entropy_descent,17.3536386262
102,hamiltonian_geometric,17.1360516371
103,sgd,19.9995330416
103,adam,19.9839147124
103,falling_ball,19.9978480595
103,entropy_descent,17.3509927121
103,hamiltonian_geometric,17.1355212578
104,sgd,19.9995293024
104,adam,19.9838084277
104,falling_ball,19.9978294308
104,entropy_descent,17.3484212608
104,hamiltonian_geometric,17.1350109459
105,sgd,19.999525569
105,adam,19.9836969223
105,falling_ball,19.997810834
105,entropy_descent,17.3459215376
105,hamiltonian_geometric,17.1345181888
106,sgd,19.9995218414
106,adam,19.9835542896
106,falling_ball,19.9977922687
106,entropy_descent,17.3434909142
106,hamiltonian_geometric,17.1340399105
107,sgd,19.9995181195
107,adam,19.9834341966
107,falling_ball,19.9977737349
107,entropy_descent,17.3411268644
107,hamiltonian_geometric,17.1335727883
108,sgd,19.9995144033
108,adam,19.9833365074
108,falling_ball,19.9977552322
108,entropy_descent,17.3388269605
108,hamiltonian_geometric,17.1331135384
109,sgd,19.9995106927
109,adam,19.9831942665
109,falling_ball,19.9977367605
109,entropy_descent,17.3365888686
109,hamiltonian_geometric,17.1326591531
110,sgd,19.9995069876
110,adam,19.9830609071
110,falling_ball,19.9977183195
110,entropy_descent,17.3344103458
110,hamiltonian_geometric,17.1322070797
111,sgd,19.9995032881
111,adam,19.9829558812
111,falling_ball,19.9976999089
111,entropy_descent,17.3322892361
111,hamiltonian_geometric,17.1317553354
112,sgd,19.9994995939
112,adam,19.9828367307
112,falling_ball,19.9976815287
112,entropy_descent,17.330223467
112,hamiltonian_geometric,17.1313025609
113,sgd,19.9994959052
113,adam,19.982700043
113,falling_ball,19.9976631786
113,entropy_descent,17.3282110466
113,hamiltonian_geometric,17.1308480174
114,sgd,19.9994922217
114,adam,19.9825774654
114,falling_ball,19.9976448583
114,entropy_descent,17.3262500598
114,hamiltonian_geometric,17.1303915367
115,sgd,19.9994885436
115,adam,19.9824569187
115,falling_ball,19.9976265678
115,entropy_descent,17.3243386659
115,hamiltonian_geometric,17.1299334358
116,sgd,19.9994848707
116,adam,19.9823311951
116,falling_ball,19.9976083067
