x_m,y_m,potential_V
-0.005,-0.033,-1.34554293155
-0.004,-0.033,-1.34398442585
-0.003,-0.033,-1.34162508161
-0.002,-0.033,-1.33848026792
-0.001,-0.033,-1.33456534836
0,-0.033,-1.32989568721
0.001,-0.033,-1.32448665587
0.002,-0.033,-1.31835363931
0.003,-0.033,-1.31151204206
0.004,-0.033,-1.30397729382
0.005,-0.033,-1.29576485434
0.006,-0.033,-1.28689021748
0.007,-0.033,-1.2773689145
0.008,-0.033,-1.26721651636
0.009,-0.033,-1.25644863534
0.01,-0.033,-1.24508092566
0.011,-0.033,-1.23312908363
0.012,-0.033,-1.220608847
0.013,-0.033,-1.20753599392
0.014,-0.033,-1.19392634148
0.015,-0.033,-1.17979574392
0.016,-0.033,-1.1651600907
0.017,-0.033,-1.1500353043
0.018,-0.033,-1.13443733801
0.019,-0.033,-1.11838217355
0.02,-0.033,-1.10188581855
0.021,-0.033,-1.08496430394
0.022,-0.033,-1.06763368112
0.023,-0.033,-1.04991001897
0.024,-0.033,-1.03180940061
0.025,-0.033,-1.01334792011
0.026,-0.033,-0.994541679103
0.027,-0.033,-0.975406783553
0.028,-0.033,-0.955959340915
0.029,-0.033,-0.936215457936
0.03,-0.033,-0.916191239395
0.031,-0.033,-0.895902788046
0.032,-0.033,-0.875366205885
0.033,-0.033,-0.854597596697
0.034,-0.033,-0.833613069574
0.035,-0.033,-0.812428742732
0.036,-0.033,-0.791060746569
0.037,-0.033,-0.769525224454
0.038,-0.033,-0.747838329318
0.039,-0.033,-0.726016213764
0.04,-0.033,-0.704075011105
-0.04,-0.032,-0.729699739964
-0.039,-0.032,-0.765427443238
-0.038,-0.032,-0.799828517467
-0.037,-0.032,-0.832919302902
-0.036,-0.032,-0.864716168005
-0.035,-0.032,-0.895235480632
-0.034,-0.032,-0.924493583158
-0.033,-0.032,-0.952506771611
-0.032,-0.032,-0.979291278844
-0.031,-0.032,-1.00486326175
-0.03,-0.032,-1.02923879247
-0.029,-0.032,-1.05243385338
-0.028,-0.032,-1.07446433577
-0.027,-0.032,-1.09534604176
-0.026,-0.032,-1.11509468906
-0.025,-0.032,-1.13372591819
-0.024,-0.032,-1.15125530134
-0.023,-0.032,-1.16769835256
-0.022,-0.032,-1.18307053828
-0.021,-0.032,-1.19738728784
-0.02,-0.032,-1.2106640032
-0.019,-0.032,-1.22291606742
-0.018,-0.032,-1.23415885152
-0.017,-0.032,-1.2444077194
-0.016,-0.032,-1.25367803075
-0.015,-0.032,-1.26198514206
-0.014,-0.032,-1.26934440585
-0.013,-0.032,-1.27577116843
-0.012,-0.032,-1.28128076687
-0.011,-0.032,-1.28588852521
-0.01,-0.032,-1.28960975093
-0.009,-0.032,-1.29245973162
-0.008,-0.032,-1.29445373259
-0.007,-0.032,-1.29560699561
-0.006,-0.032,-1.29593473876
-0.005,-0.032,-1.2954521578
-0.004,-0.032,-1.29417442875
-0.003,-0.032,-1.2921167116
-0.002,-0.032,-1.28929415509
-0.001,-0.032,-1.28572190215
0,-0.032,-1.28141509581
0.001,-0.032,-1.27638888533
0.002,-0.032,-1.27065843218
0.003,-0.032,-1.26423891579
0.004,-0.032,-1.25714553871
0.005,-0.032,-1.24939353117
0.006,-0.032,-1.24099815487
0.007,-0.032,-1.23197470587
0.008,-0.032,-1.22233851675
0.009,-0.032,-1.21210495795
0.01,-0.032,-1.2012894383
0.011,-0.032,-1.18990740498
0.012,-0.032,-1.1779743429
0.013,-0.032,-1.1655057736
0.014,-0.032,-1.1525172539
0.015,-0.032,-1.13902437415
0.016,-0.032,-1.12504275649
0.017,-0.032,-1.11058805279
0.018,-0.032,-1.09567594267
0.019,-0.032,-1.0803221313
